Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,social_support,cpi_score
Vietnam,2018,75.32,12.69,8.2,6220.27,0.85,0.65,0.62,0.69,0.7,0.69,5.103,0.715,0.0,0.702,0.618,0.177,0.079,0.0,Asia,1.365,33
Vietnam,2017,75.241,12.7,8.2,6620.0,0.85,0.65,0.63,0.69,0.71,0.69,5.175,0.741,0.0,0.851,0.543,0.147,0.073,0.0,Asia,1.346,35
Vietnam,2016,75.172,12.7,8.1,6300.0,0.85,0.65,0.63,0.68,0.7,0.69,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2.20173,Asia,0.0,33
Vietnam,2015,75.11,12.7,8.0,5790.0,0.85,0.65,0.61,0.68,0.69,0.68,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,1.462318659,Asia,0.0,31
Venezuela,2015,72.584,14.3,10.1,,0.81,0.76,,0.76,,0.78,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.789463758,South America,0.0,17
Venezuela,2016,72.405,14.3,10.1,,0.81,0.76,,0.75,,0.77,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,3.19131,South America,0.0,17
Venezuela,2017,72.246,14.3,10.3,,0.8,0.76,,0.73,,0.76,4.707,0.96,0.0,0.805,0.154,0.064,0.047,0.0,South America,1.427,18
Venezuela,2018,72.13,12.82,10.32,9069.7,0.8,0.71,0.68,0.73,0.73,0.73,4.806,0.996,0.0,0.657,0.133,0.056,0.052,0.0,South America,1.469,18
Uzbekistan,2018,71.57,12.01,11.52,6461.84,0.79,0.72,0.63,0.71,0.71,0.71,6.096,0.719,0.0,0.605,0.724,0.328,0.259,0.0,Asia,1.584,23
Uzbekistan,2017,71.388,12.0,11.5,6650.0,0.79,0.72,0.63,0.71,0.71,0.71,6.174,0.745,0.0,0.756,0.631,0.322,0.24,0.0,Asia,1.529,22
Uzbekistan,2016,71.171,11.8,11.4,6530.0,0.79,0.71,0.63,0.7,0.71,0.7,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2.23741,Asia,0.0,21
Uzbekistan,2015,70.928,11.7,11.4,6460.0,0.78,0.71,0.63,0.7,0.7,0.7,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,1.816913605,Asia,0.0,19
Uruguay,2018,77.77,16.34,8.73,19434.85,0.89,0.79,0.8,0.81,0.82,0.81,6.379,1.093,0.0,0.771,0.625,0.13,0.155,0.0,South America,1.459,70
Uruguay,2017,77.632,15.9,8.7,20060.0,0.89,0.77,0.8,0.81,0.82,0.8,6.293,1.124,0.0,0.891,0.523,0.127,0.15,0.0,South America,1.465,70
Uruguay,2016,77.498,15.9,8.7,19650.0,0.88,0.77,0.8,0.81,0.82,0.8,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2.32142,South America,0.0,71
Uruguay,2015,77.369,15.9,8.7,19310.0,0.88,0.77,0.8,0.8,0.82,0.8,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534,South America,0.0,74
United States,2015,78.91,16.5,13.3,58340.0,0.91,0.92,0.96,0.92,0.93,0.92,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2.218113422,North America,0.0,76
United States,2016,78.885,16.5,13.4,58970.0,0.91,0.92,0.96,0.92,0.93,0.92,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011,North America,0.0,74
United States,2017,78.861,16.5,13.4,61020.0,0.91,0.92,0.97,0.92,0.93,0.92,6.892,1.433,0.0,0.874,0.454,0.28,0.128,0.0,North America,1.457,75
United States,2018,78.85,16.27,13.41,56140.23,0.91,0.92,0.96,0.92,0.93,0.92,6.886,1.398,0.0,0.819,0.547,0.291,0.133,0.0,North America,1.471,71
United Kingdom,2018,81.24,17.44,12.95,39507.29,0.94,0.94,0.9,0.92,0.93,0.92,7.19,1.244,0.0,0.888,0.464,0.262,0.082,0.0,Europe,1.433,80
United Kingdom,2017,81.168,17.4,12.9,45430.0,0.94,0.94,0.92,0.92,0.93,0.92,7.054,1.333,0.0,0.996,0.45,0.348,0.278,0.0,Europe,1.538,82
United Kingdom,2016,81.111,17.4,12.9,43100.0,0.94,0.94,0.92,0.92,0.93,0.92,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,1.96994,Europe,0.0,81
United Kingdom,2015,81.052,17.4,12.8,41550.0,0.94,0.94,0.91,0.92,0.93,0.92,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,1.704143524,Europe,0.0,81
United Arab Emirates,2018,77.81,13.64,10.95,66911.66,0.89,0.76,0.98,0.87,0.87,0.87,6.774,2.096,0.0,0.67,0.284,0.186,0.312,0.0,Asia,0.776,70
United Arab Emirates,2017,77.647,13.6,10.8,66290.0,0.89,0.75,0.98,0.86,0.87,0.86,6.825,1.503,0.0,0.825,0.598,0.262,0.182,0.0,Asia,1.31,71
